source,artwork,image,century
frick,6816,6816,0
frick,6816,6816a,0
frick,6816,6816b,0
frick,6816,6816c,0
frick,6816,6816d,0
frick,6817,6817,0
frick,6818,6818,13
frick,6818,6818a,13
frick,6818,6818b,13
frick,6818,6818c,13
frick,6818,6818d,13
frick,6819,6819,0
frick,6820,6820,0
frick,6821,6821,13
frick,6821,6821a,13
frick,6821,6821b,13
frick,6821,6821c,13
frick,6821,6821d,13
frick,6821,6821e,13
frick,6821,6821f,13
frick,6821,6821g,13
frick,6821,6821h,13
frick,6821,6821i,13
frick,6821,6821l,13
frick,6821,6821m,13
frick,6821,6821n,13
frick,6821,6821o,13
frick,6821,6821p,13
frick,6821,6821q,13
frick,6821,6821r,13
frick,6821,6821s,13
frick,6821,6821t,13
frick,6821,6821u,13
frick,6821,6821v,13
frick,6822,6822,0
frick,6823,6823,0
frick,6824,6824,0
frick,6825,6825,13
frick,6825,6825a,13
frick,6825,6825b,13
frick,6825,6825c,13
frick,6825,6825d,13
frick,6825,6825e,13
frick,6826,6826,13
frick,6826,6826a,13
frick,6826,6826b,13
frick,6826,6826c,13
frick,6827,6827,13
frick,6827,6827a,13
frick,6827,6827b,13
frick,6827,6827c,13
frick,6828,6828,13
frick,6828,6828a,13
frick,6828,6828b,13
frick,6828,6828c,13
frick,6828,6828d,13
frick,6828,6828e,13
frick,6829,6829,0
frick,6830,6830,0
frick,6831,6831,13
frick,6831,6831a,13
frick,6831,6831b,13
frick,6831,6831c,13
frick,6831,6831d,13
frick,6831,6831e,13
frick,6832,6832,13
frick,6832,6832a,13
frick,6833,6833,0
frick,6834,6834,14
frick,6834,6834a,14
frick,6835,6835,14
frick,6836,6836,14
frick,6836,6836a,14
frick,6837,6837,14
frick,6838,6838,0
frick,6839,6839,0
frick,6840,6840,14
frick,6841,6841,14
frick,6842,6842,14
frick,6843,6843,14
frick,6844,6844,14
frick,6845,6845,14
frick,6846,6846,14
frick,6847,6847,14
frick,6847,6847a,14
frick,6847,6847b,14
frick,6847,6847c,14
frick,6847,6847d,14
frick,6847,6847e,14
frick,6847,6847f,14
frick,6847,6847g,14
frick,6848,6848,0
frick,6848,6848a,0
frick,6849,6849,0
frick,6850,6850,0
frick,6851,6851,0
frick,6852,6852,14
frick,6853,6853,14
frick,6853,6853a,14
frick,6853,6853b,14
frick,6854,6854,14
frick,6854,6854a,14
frick,6854,6854b,14
