sourceA,idA,sourceB,idB,overlap,similarity
frick,10,frick,10a,100.00,20.00
frick,10000f,zeri,59526,100.00,57.60
frick,10004,zeri,59752,100.00,61.70
frick,10004,zeri,59751,65.06,24.10
frick,10006,zeri,80045,20.51,9.80
frick,10007,zeri,60410,99.56,21.60
frick,1001,frick,1001c,100.00,32.20
frick,10010,zeri,59462,100.00,54.90
frick,10012,zeri,59933,99.92,48.20
frick,10014,frick,9565,99.99,99.60
frick,1001c,frick,1001,94.33,28.60
frick,1001d,frick,1001,100.00,7.45
frick,1001d,frick,1001c,100.00,6.67
frick,10021,zeri,59522,100.00,38.80
frick,10020,zeri,59523,100.00,37.30
frick,10024,zeri,60335,99.89,67.70
frick,10025,zeri,60334,98.80,50.20
frick,10026,frick,11026,97.48,77.30
frick,10035,zeri,59490,100.00,52.90
frick,10042a,frick,10042,100.00,9.84
frick,10042,frick,10042a,51.47,7.84
frick,1005,frick,1005a,98.47,35.70
frick,10051,zeri,59433,100.00,53.70
frick,10056d,zeri,59491,100.00,58.80
frick,10056c,zeri,59492,99.40,43.50
frick,1005a,frick,1005,96.12,34.10
frick,10061,zeri,59405,57.58,22.00
frick,10061a,zeri,59408,99.31,59.60
frick,10066,zeri,59406,100.00,21.60
frick,10078,zeri,59437,99.32,51.40
frick,10080,zeri,79952,99.80,61.20
frick,10082a,zeri,59436,100.00,67.60
frick,10088,zeri,59498,100.00,25.70
frick,10088b,zeri,59499,100.00,23.30
frick,10088e,frick,10088d,69.89,7.84
frick,10088c,frick,10088a,61.02,10.60
frick,10088d,frick,10088e,98.96,9.80
frick,10088g,frick,10088f,90.13,8.63
frick,10088h,frick,10088f,89.58,14.10
frick,10088f,frick,10088h,56.80,16.10
frick,10088f,frick,10088g,41.88,9.45
frick,10088i,zeri,59500,100.00,25.50
frick,10096,zeri,59913,99.15,69.00
frick,10097,zeri,59493,99.13,38.00
frick,1010,zeri,101426,96.61,10.60
frick,10103c,zeri,59494,98.87,62.70
frick,10106a,zeri,59497,98.34,41.20
frick,10110a,frick,10110c,96.35,4.64
frick,10110c,frick,10110a,98.57,4.40
frick,10115,frick,10115a,49.64,23.10
frick,10115a,zeri,59503,72.91,52.90
frick,10115a,frick,10115,46.19,22.70
frick,10121,zeri,59440,98.75,71.80
frick,10127,zeri,59505,99.49,43.90
frick,10131,zeri,59454,96.47,63.50
frick,10131b,zeri,59455,98.13,60.40
frick,10131d,zeri,59456,99.36,67.10
frick,10131f,zeri,59453,98.75,62.80
frick,10131e,zeri,59452,97.87,64.00
frick,10133,zeri,59459,99.33,66.70
frick,10133a,zeri,59458,99.29,70.60
frick,10133b,zeri,59457,98.91,58.00
frick,10134b,frick,1441,84.93,5.88
frick,10140a,zeri,59508,99.87,64.70
frick,10148,zeri,59511,99.35,59.20
frick,10148c,zeri,59510,100.00,49.00
frick,10149,zeri,59512,100.00,15.70
frick,10149a,zeri,59512,100.00,15.30
frick,10156,zeri,59460,100.00,55.50
frick,10157a,zeri,59516,98.64,63.50
frick,10157b,zeri,59517,99.41,40.80
frick,10158,zeri,59515,100.00,68.60
frick,10161a,zeri,59363,97.06,65.90
frick,10163,zeri,59518,100.00,76.10
frick,10164b,zeri,59519,98.97,43.90
frick,10165,zeri,59365,100.00,63.90
frick,10169,zeri,59520,97.26,61.40
frick,10170,zeri,59521,99.92,58.40
frick,10173,zeri,59409,100.00,57.60
frick,10176,zeri,59461,99.59,65.90
frick,10184b,frick,10184a,24.51,9.80
frick,10184a,frick,10184b,26.16,9.80
frick,10196,zeri,59524,98.43,65.50
frick,10199,zeri,59528,99.97,66.90
frick,10198,zeri,59527,98.78,74.50
frick,10212,zeri,59525,99.89,61.20
frick,10217,zeri,59463,99.24,65.50
frick,10222c,zeri,59467,100.00,13.30
frick,10223,frick,9972,97.15,47.10
frick,10224a,zeri,59501,98.76,38.40
frick,10228,zeri,59531,99.29,66.30
frick,10231b,zeri,57988,99.75,50.80
frick,10241,zeri,60402,98.49,69.40
frick,10243,zeri,59927,98.00,58.40
frick,10245,zeri,60364,99.91,68.20
frick,10247,zeri,60392,99.03,55.30
frick,10249,zeri,60368,99.70,70.60
frick,10251,zeri,60578,76.64,35.80
frick,1029,frick,10797b,97.58,48.60
frick,10290,zeri,60568,97.43,48.60
frick,10290,zeri,60570,82.86,11.40
frick,10297c,frick,10297d,72.03,13.70
frick,10297c,frick,10297e,23.88,9.02
frick,10297d,frick,10297c,88.92,15.70
frick,10297d,frick,10375,81.48,11.00
frick,10297f,frick,10297g,79.88,14.10
frick,10297e,frick,10297c,23.18,8.24
frick,10297g,frick,10297f,78.17,15.70
frick,10297h,frick,10297i,79.65,23.90
frick,10297i,frick,10297h,75.91,22.40
frick,10298,frick,10298a,30.73,11.40
frick,10298a,frick,10298,100.00,11.40
frick,10302,frick,10302a,28.47,8.70
frick,1030,frick,10765,97.91,50.20
frick,10300,frick,13183,98.06,44.30
frick,10302a,frick,10302,100.00,8.24
frick,10303a,frick,10303b,98.52,37.00
frick,10303b,frick,10303a,100.00,35.70
frick,10303b,frick,10303c,27.84,9.80
frick,10303m,frick,10303l,98.17,34.10
frick,10303l,frick,10303m,94.56,33.70
frick,10305h,frick,10305g,100.00,10.60
frick,10305g,frick,10305h,60.19,9.41
frick,10306d,frick,10306c,30.87,10.60
frick,10306c,frick,10306b,25.78,13.70
frick,10306c,frick,10306d,28.48,10.60
frick,10306b,frick,10306c,24.00,11.80
frick,10306f,frick,10306e,30.46,9.02
frick,10306g,frick,10306f,23.94,7.06
frick,10310b,frick,10310g,84.10,9.80
frick,10310c,frick,10310l,90.38,5.88
frick,10310g,frick,10310b,90.68,11.80
frick,10312,frick,12010,76.57,52.20
frick,10318a,frick,10318b,100.00,23.90
frick,10318b,frick,10318a,35.10,26.30
frick,10318b,frick,30,99.09,15.70
frick,10326a,frick,10326c,94.52,35.30
frick,10326b,frick,10326,94.58,8.63
frick,10326c,frick,10326a,98.40,32.90
frick,10334,frick,10334a,38.37,10.20
frick,10346,zeri,32534,97.72,58.70
frick,10352b,frick,10352c,59.52,6.72
frick,10352c,frick,10352b,74.80,8.63
frick,10362,zeri,39667,100.00,20.00
frick,10360,zeri,39405,90.64,62.00
frick,10360,zeri,39404,87.75,59.60
frick,10365,zeri,132503,99.13,56.50
frick,10367,zeri,42512,88.44,22.70
frick,10375,frick,10297d,76.85,12.20
frick,10382,frick,10383,100.00,12.50
frick,10383,frick,10382,33.60,11.00
frick,10391,frick,10391a,51.71,19.70
frick,10391a,frick,10391,98.89,19.60
frick,10397,frick,10397a,42.10,14.90
frick,10397a,frick,10397,100.00,15.30
frick,103a,frick,10851a,100.00,63.50
frick,103b,frick,10851b,100.00,61.20
frick,10401,frick,10430,100.00,15.40
frick,10418,frick,10418b,62.90,12.20
frick,10418b,frick,10418,99.36,12.90
frick,10419,zeri,42352,97.46,33.70
frick,10419a,zeri,42354,98.33,35.30
frick,10422a,zeri,89018,97.54,52.90
frick,10422a,zeri,89020,87.12,37.30
frick,10422,zeri,89017,95.57,47.40
frick,10422,zeri,89019,59.50,17.50
frick,10424,frick,10424a,44.09,20.20
frick,10424,zeri,37974,42.70,19.80
